# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
,260,         5.180,       52.100,       1.90,  DE BILT
,380,         5.762,       50.906,     114.30,  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,19630101,  -83, -102,  -48
  260,19630102,  -86, -100,  -77
  260,19630103,  -41,  -78,  -12
  260,19630104,   -5,  -31,   22
  260,19630105,   11,    2,   22
  260,19630106,  -11,  -59,    6
  260,19630107,  -38,  -64,  -25
  260,19630108,  -45,  -64,  -35
  260,19630109,  -78, -102,  -42
  260,19630110, -112, -147,  -79
  260,19630111,  -99, -132,  -61
  260,19630112,  -99, -132,  -70
  260,19630113,  -80, -152,  -27
  260,19630114,  -11,  -68,   25
  260,19630115,  -35,  -91,   13
  260,19630116,  -64,  -90,   13
  260,19630117, -112, -146,  -71
  260,19630118, -105, -182,  -63
  260,19630119,  -86, -119,  -62
  260,19630120,  -59,  -90,  -20
  260,19630121,  -80, -111,  -48
  260,19630122,  -86, -154,  -32
  260,19630123,  -38,  -95,   -4
  260,19630124,  -37,  -85,   11
  260,19630125,  -23,  -85,    1
  260,19630126,   12,  -21,   31
  260,19630127,   -4,  -36,   19
  260,19630128,    4,  -11,   22
  260,19630129,  -16,  -37,    7
  260,19630130,  -36,  -50,  -18
  260,19630131,  -68, -104,  -44
  260,19630201,  -52,  -74,  -35
  260,19630202,  -58,  -84,  -42
  260,19630203,  -51,  -92,   -6
  260,19630204,  -58, -112,  -24
  260,19630205,  -64, -112,  -27
  260,19630206,  -55,  -96,  -26
  260,19630207,   -7,  -40,   20
  260,19630208,   17,    4,   26
  260,19630209,    8,  -35,   35
  260,19630210,  -27,  -42,  -14
  260,19630211,    2,  -14,   21
  260,19630212,   -5,  -15,    3
  260,19630213,  -10,  -19,    4
  260,19630214,  -19,  -51,   10
  260,19630215,  -24,  -51,   -2
  260,19630216,  -24,  -37,   -8
  260,19630217,  -17,  -32,   -3
  260,19630218,  -14,  -25,   -1
  260,19630219,  -33,  -78,    0
  260,19630220,  -39,  -66,  -21
  260,19630221,  -48, -121,   -8
  260,19630222,  -74, -138,   10
  260,19630223,  -68, -145,    5
  260,19630224,  -63, -141,   11
  260,19630225,  -48, -105,   25
  260,19630226,  -38,  -94,   23
  260,19630227,  -17,  -74,   41
  260,19630228,  -12,  -52,   42
  260,19630301,  -14,  -68,   50
  260,19630302,  -10,  -72,   58
  260,19630303,   -5,  -60,   64
  260,19630304,   11,  -53,   69
  260,19630305,   46,    2,   85
  260,19630306,   72,   46,  113
  260,19630307,   71,   35,  111
  260,19630308,   71,   21,  144
  260,19630309,   78,   51,  113
  260,19630310,   67,   35,   95
  260,19630311,   54,   13,   82
  260,19630312,   34,    5,   74
  260,19630313,   43,    9,   80
  260,19630314,   72,   40,  107
  260,19630315,   78,   42,  136
  260,19630316,   70,   35,  115
  260,19630317,   69,   36,  107
  260,19630318,   89,   70,  126
  260,19630319,   60,   29,   97
  260,19630320,   41,    0,   70
  260,19630321,   16,    0,   29
  260,19630322,    2,  -27,   35
  260,19630323,   15,  -23,   51
  260,19630324,   31,  -12,   63
  260,19630325,   50,   15,   76
  260,19630326,   51,   16,   77
  260,19630327,   56,   24,  100
  260,19630328,   65,   18,  109
  260,19630329,   56,   25,  114
  260,19630330,   52,   21,   92
  260,19630331,   36,   23,   49
  260,19630401,   20,   15,   26
  260,19630402,   51,   13,  100
  260,19630403,   58,   39,   76
  260,19630404,   35,    2,   75
  260,19630405,   46,  -16,   83
  260,19630406,   80,   28,  139
  260,19630407,   83,   19,  145
  260,19630408,  113,   37,  186
  260,19630409,  128,   78,  182
  260,19630410,  109,   76,  150
  260,19630411,  118,   62,  164
  260,19630412,   71,   -9,  109
  260,19630413,   48,  -25,  116
  260,19630414,   70,    3,  120
  260,19630415,   86,   70,   95
  260,19630416,   96,   74,  115
  260,19630417,  115,   63,  179
  260,19630418,   90,   37,  132
  260,19630419,  109,   20,  183
  260,19630420,  141,   71,  199
  260,19630421,  125,  103,  166
  260,19630422,  109,   66,  160
  260,19630423,  123,   56,  180
  260,19630424,  107,   63,  156
  260,19630425,   76,   58,   91
  260,19630426,   79,   17,  136
  260,19630427,  103,   15,  160
  260,19630428,  112,   87,  146
  260,19630429,  110,   96,  124
  260,19630430,   98,   69,  138
  260,19630501,   81,   69,   98
  260,19630502,   74,   38,  108
  260,19630503,   67,   44,   90
  260,19630504,   74,   31,  113
  260,19630505,   91,   33,  136
  260,19630506,   86,   21,  126
  260,19630507,  104,   15,  172
  260,19630508,  150,   57,  228
  260,19630509,  106,   42,  133
  260,19630510,   88,   24,  154
  260,19630511,   88,   81,  100
  260,19630512,  114,   52,  158
  260,19630513,  111,   81,  135
  260,19630514,  104,   70,  134
  260,19630515,   91,   66,  128
  260,19630516,  102,   44,  161
  260,19630517,   85,   28,  122
  260,19630518,  105,   34,  154
  260,19630519,   86,   36,  121
  260,19630520,  100,   20,  156
  260,19630521,  110,   80,  144
  260,19630522,  105,   49,  150
  260,19630523,  106,   85,  131
  260,19630524,  105,   61,  134
  260,19630525,  112,   22,  167
  260,19630526,  136,   74,  189
  260,19630527,  145,  118,  187
  260,19630528,  129,  112,  153
  260,19630529,  148,  109,  202
  260,19630530,  188,  118,  250
  260,19630531,  204,  134,  262
  260,19630601,  176,  121,  224
  260,19630602,  152,   85,  203
  260,19630603,  157,   93,  206
  260,19630604,  180,  100,  237
  260,19630605,  176,  127,  236
  260,19630606,  168,  128,  222
  260,19630607,  179,   97,  242
  260,19630608,  209,  162,  274
  260,19630609,  209,  149,  263
  260,19630610,  198,  123,  257
  260,19630611,  159,   97,  214
  260,19630612,  152,   77,  233
  260,19630613,  165,   97,  243
  260,19630614,  134,  102,  150
  260,19630615,  125,   79,  160
  260,19630616,  129,   47,  191
  260,19630617,  148,  128,  172
  260,19630618,  155,  132,  176
  260,19630619,  126,  100,  162
  260,19630620,  132,   99,  155
  260,19630621,  155,  131,  182
  260,19630622,  141,  123,  172
  260,19630623,  141,   92,  181
  260,19630624,  142,   81,  190
  260,19630625,  147,   94,  199
  260,19630626,  142,  104,  183
  260,19630627,  149,   92,  190
  260,19630628,  141,  104,  180
  260,19630629,  143,  101,  190
  260,19630630,  163,  116,  218
  260,19630701,  153,  110,  181
  260,19630702,  152,   97,  219
  260,19630703,  173,   81,  233
  260,19630704,  181,  149,  231
  260,19630705,  178,  143,  226
  260,19630706,  173,  135,  220
  260,19630707,  148,  114,  184
  260,19630708,  138,   98,  180
  260,19630709,  152,  115,  188
  260,19630710,  146,  123,  173
  260,19630711,  139,   76,  183
  260,19630712,  138,   72,  179
  260,19630713,  129,   81,  189
  260,19630714,  153,   88,  200
  260,19630715,  172,  131,  219
  260,19630716,  167,  125,  201
  260,19630717,  157,  120,  197
  260,19630718,  149,  110,  178
  260,19630719,  175,  142,  214
  260,19630720,  168,  120,  210
  260,19630721,  173,   92,  245
  260,19630722,  208,  134,  284
  260,19630723,  199,  149,  261
  260,19630724,  204,  153,  242
  260,19630725,  143,   99,  180
  260,19630726,  139,   82,  188
  260,19630727,  137,   48,  190
  260,19630728,  155,   85,  211
  260,19630729,  188,  112,  249
  260,19630730,  182,  118,  231
  260,19630731,  169,  108,  218
  260,19630801,  176,   96,  238
  260,19630802,  206,  102,  287
  260,19630803,  213,  162,  274
  260,19630804,  178,  149,  208
  260,19630805,  175,  139,  220
  260,19630806,  189,  146,  243
  260,19630807,  164,  102,  213
  260,19630808,  144,   96,  190
  260,19630809,  141,  129,  156
  260,19630810,  149,  120,  175
  260,19630811,  162,  132,  194
  260,19630812,  155,  126,  187
  260,19630813,  146,   95,  197
  260,19630814,  151,   95,  205
  260,19630815,  147,  121,  184
  260,19630816,  147,  106,  196
  260,19630817,  132,   92,  159
  260,19630818,  125,   83,  191
  260,19630819,  143,  119,  177
  260,19630820,  126,  110,  154
  260,19630821,  127,  108,  156
  260,19630822,  142,  131,  156
  260,19630823,  152,  131,  180
  260,19630824,  142,  123,  170
  260,19630825,  157,  137,  182
  260,19630826,  173,  136,  203
  260,19630827,  141,  104,  183
  260,19630828,  115,   82,  138
  260,19630829,  117,   67,  181
  260,19630830,  132,   45,  185
  260,19630831,  141,  122,  178
  260,19630901,  162,  112,  210
  260,19630902,  149,  130,  183
  260,19630903,  133,  125,  148
  260,19630904,  130,  112,  160
  260,19630905,  131,  107,  173
  260,19630906,  121,   83,  155
  260,19630907,  117,   67,  175
  260,19630908,  127,   87,  164
  260,19630909,  123,   77,  158
