# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# DR       = Duur van de neerslag (in 0.1 uur); 
# 
# STN,YYYYMMDD,   DR
# 
  260,20150101,    0
  260,20150102,   46
  260,20150103,   39
  260,20150104,    0
  260,20150105,    0
  260,20150106,   27
  260,20150107,   12
  260,20150108,   97
  260,20150109,   58
  260,20150110,   16
  260,20150111,   22
  260,20150112,   52
  260,20150113,  119
  260,20150114,   28
  260,20150115,  112
  260,20150116,   17
  260,20150117,    0
  260,20150118,  130
  260,20150119,    0
  260,20150120,    0
  260,20150121,    0
  260,20150122,    0
  260,20150123,    0
  260,20150124,   48
  260,20150125,   14
  260,20150126,   61
  260,20150127,    3
  260,20150128,   45
  260,20150129,   97
  260,20150130,   65
  260,20150131,    5
  260,20150201,   17
  260,20150202,   34
  260,20150203,    2
  260,20150204,    0
  260,20150205,    5
  260,20150206,    0
  260,20150207,    0
  260,20150208,    0
  260,20150209,    5
  260,20150210,    8
  260,20150211,    0
  260,20150212,    0
  260,20150213,    0
  260,20150214,    0
  260,20150215,    0
  260,20150216,    0
  260,20150217,    4
  260,20150218,    0
  260,20150219,    0
  260,20150220,  229
  260,20150221,   51
  260,20150222,   29
  260,20150223,   34
  260,20150224,   41
  260,20150225,   35
  260,20150226,   77
  260,20150227,    0
  260,20150228,    0
  260,20150301,   39
  260,20150302,    8
  260,20150303,   26
  260,20150304,    3
  260,20150305,    0
  260,20150306,    0
  260,20150307,    0
  260,20150308,    0
  260,20150309,    0
  260,20150310,    7
  260,20150311,    0
  260,20150312,    0
  260,20150313,    0
  260,20150314,    6
  260,20150315,    9
  260,20150316,    0
  260,20150317,    0
  260,20150318,    0
  260,20150319,    0
  260,20150320,    0
  260,20150321,   30
  260,20150322,    0
  260,20150323,    0
  260,20150324,   15
  260,20150325,  115
  260,20150326,   61
  260,20150327,    8
  260,20150328,   65
  260,20150329,   74
  260,20150330,   29
  260,20150331,   42
  260,20150401,   41
  260,20150402,   48
  260,20150403,    0
  260,20150404,   44
  260,20150405,    0
  260,20150406,    0
  260,20150407,    0
  260,20150408,    0
  260,20150409,    0
  260,20150410,    0
  260,20150411,   23
  260,20150412,    6
  260,20150413,    0
  260,20150414,    0
  260,20150415,    0
  260,20150416,    0
  260,20150417,    0
  260,20150418,    0
  260,20150419,    0
  260,20150420,    0
  260,20150421,    0
  260,20150422,    0
  260,20150423,    0
  260,20150424,    0
  260,20150425,   56
  260,20150426,   12
  260,20150427,    0
  260,20150428,    2
  260,20150429,   17
  260,20150430,    0
  260,20150501,    0
  260,20150502,    0
  260,20150503,   31
  260,20150504,   35
  260,20150505,   26
  260,20150506,    8
  260,20150507,   14
  260,20150508,    4
  260,20150509,   22
  260,20150510,    0
  260,20150511,    0
  260,20150512,    0
  260,20150513,    0
  260,20150514,    0
  260,20150515,    0
  260,20150516,   34
  260,20150517,    0
  260,20150518,   33
  260,20150519,   19
  260,20150520,    2
  260,20150521,    0
  260,20150522,    0
  260,20150523,   10
  260,20150524,   10
  260,20150525,   10
  260,20150526,    0
  260,20150527,    0
  260,20150528,    7
  260,20150529,   25
  260,20150530,    0
  260,20150531,   77
  260,20150601,    0
  260,20150602,   42
  260,20150603,    0
  260,20150604,    0
  260,20150605,   15
  260,20150606,    0
  260,20150607,    0
  260,20150608,    0
  260,20150609,    0
  260,20150610,    0
  260,20150611,    0
  260,20150612,    0
  260,20150613,    7
  260,20150614,    0
  260,20150615,    0
  260,20150616,    0
  260,20150617,   20
  260,20150618,    5
  260,20150619,   47
  260,20150620,    0
  260,20150621,   25
  260,20150622,   39
  260,20150623,   13
  260,20150624,    0
  260,20150625,    0
  260,20150626,    0
  260,20150627,    0
  260,20150628,    0
  260,20150629,    0
  260,20150630,    0
  260,20150701,    0
  260,20150702,   13
  260,20150703,    0
  260,20150704,    0
  260,20150705,    0
  260,20150706,    0
  260,20150707,    0
  260,20150708,   51
  260,20150709,   24
  260,20150710,    0
  260,20150711,    0
  260,20150712,   22
  260,20150713,   97
  260,20150714,   43
  260,20150715,   16
  260,20150716,    0
  260,20150717,    9
  260,20150718,    0
  260,20150719,   65
  260,20150720,    4
  260,20150721,    0
  260,20150722,    0
  260,20150723,    0
  260,20150724,    3
  260,20150725,   66
  260,20150726,   60
  260,20150727,   49
  260,20150728,   85
  260,20150729,   18
  260,20150730,    7
  260,20150731,    0
  260,20150801,    0
  260,20150802,    0
  260,20150803,    0
  260,20150804,   37
  260,20150805,    0
  260,20150806,    0
  260,20150807,    0
  260,20150808,    0
  260,20150809,    0
  260,20150810,    0
  260,20150811,    0
  260,20150812,    0
  260,20150813,   10
  260,20150814,   22
  260,20150815,   60
  260,20150816,  155
  260,20150817,  198
  260,20150818,   45
  260,20150819,    0
  260,20150820,    0
  260,20150821,    0
  260,20150822,    0
  260,20150823,   39
  260,20150824,   16
  260,20150825,   71
  260,20150826,   19
  260,20150827,   63
  260,20150828,    2
  260,20150829,    5
  260,20150830,   47
  260,20150831,   31
  260,20150901,    0
  260,20150902,   13
  260,20150903,    2
  260,20150904,  119
  260,20150905,   25
  260,20150906,   29
  260,20150907,   23
  260,20150908,    0
  260,20150909,    0
  260,20150910,    0
  260,20150911,    0
  260,20150912,   33
  260,20150913,    0
  260,20150914,   43
  260,20150915,   12
  260,20150916,   44
  260,20150917,   66
  260,20150918,    0
  260,20150919,    6
  260,20150920,    0
  260,20150921,   24
  260,20150922,   31
  260,20150923,   29
  260,20150924,   35
  260,20150925,    0
  260,20150926,    0
  260,20150927,    0
  260,20150928,    0
  260,20150929,    0
  260,20150930,    0
  260,20151001,    0
  260,20151002,    0
  260,20151003,    0
  260,20151004,    0
  260,20151005,   20
  260,20151006,   66
  260,20151007,   21
  260,20151008,    6
  260,20151009,    0
  260,20151010,    0
  260,20151011,    0
  260,20151012,    0
  260,20151013,    0
